2012-12-27 15:35:17.023  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 16:43:24.402  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 16:46:32.577  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 18:24:45.681  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 19:14:18.740  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 19:24:31.459  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 19:31:19.863  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 19:59:36.454  INFO HelloWorldImpl:125 - create index :field:id  value:500
2012-12-27 19:59:36.463  INFO HelloWorldImpl:125 - create index :field:collegeId  value:12
2012-12-27 19:59:36.463  INFO HelloWorldImpl:125 - create index :field:sex  value:0
2012-12-27 19:59:36.464  INFO HelloWorldImpl:125 - create index :field:name  value:屠洪纲
2012-12-27 19:59:36.464  INFO HelloWorldImpl:125 - create index :field:year  value:2012
2012-12-27 20:21:49.261  INFO HelloWorldImpl:125 - create index :field:id  value:500
2012-12-27 20:21:49.261  INFO HelloWorldImpl:125 - create index :field:collegeId  value:12
2012-12-27 20:21:49.261  INFO HelloWorldImpl:125 - create index :field:sex  value:0
2012-12-27 20:21:49.262  INFO HelloWorldImpl:125 - create index :field:name  value:屠洪纲
2012-12-27 20:21:49.262  INFO HelloWorldImpl:125 - create index :field:year  value:2012
2012-12-27 20:22:35.933  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 20:23:05.663  INFO HelloWorldImpl:125 - create index :field:id  value:500
2012-12-27 20:23:05.673  INFO HelloWorldImpl:125 - create index :field:collegeId  value:12
2012-12-27 20:23:05.673  INFO HelloWorldImpl:125 - create index :field:sex  value:0
2012-12-27 20:23:05.673  INFO HelloWorldImpl:125 - create index :field:name  value:屠洪纲
2012-12-27 20:23:05.673  INFO HelloWorldImpl:125 - create index :field:year  value:2012
2012-12-27 20:28:09.191  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 20:28:09.211  INFO HelloWorldImpl:60 - start init!!
2012-12-27 20:28:24.432  INFO HelloWorldImpl:125 - create index :field:id  value:500
2012-12-27 20:28:24.437  INFO HelloWorldImpl:125 - create index :field:collegeId  value:12
